	Location	Prices_per_year (₦ or $)	Bedrooms	Baths	Toilets
0	Banana Island Road, Ikoyi Lagos	₦ 25,000,000	3.0	3.0	3.0
1	Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
2	Old Ikoyi Ikoyi Lagos	₦ 27,000,000	3.0	3.0	4.0
3	Old Ikoyi Ikoyi Lagos	₦ 23,000,000	3.0	3.0	4.0
4	Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
5	Ikate Lekki Lagos	₦ 7,000,000	2.0	2.0	3.0
6	Banana Island Banana Island Ikoyi Lagos	₦ 60,000,000	4.0	4.0	5.0
7	Ikate Ilasan Lekki Lagos	₦ 1,700,000	1.0	1.0	2.0
8	Lekki Phase 1 Lekki Lagos	₦ 2,000,000	1.0	1.0	1.0
9	Off Christ Avenue Off Admiralty Road Lekki Phase 1 Lekki Lagos	₦ 7,000,000	2.0	2.0	3.0
10	No. 27 Alexandria Street Wuse 2 Abuja	₦ 50,000,000			
11	Lekki Phase 1 Lekki Lagos	₦ 10,000,000	2.0	2.0	3.0
12	Freedom Way Lekki Phase 1 Lekki Lagos	₦ 5,000,000	2.0	2.0	3.0
13	Lekki Phase 2 Lekki Lagos	₦ 1,800,000	3.0	3.0	3.0
14	Lekki Phase 1 Lekki Lagos	₦ 1,500,000	1.0	1.0	1.0
15	Lekki Lagos	₦ 1,200,000	0.0	1.0	1.0
16	Lekki Phase 1 Lekki Lagos	₦ 1,800,000	1.0	1.0	1.0
17	Iwaya Yaba Lagos	₦ 2,000,000	3.0	4.0	4.0
18	Ajah Lagos	₦ 750,000	1.0	1.0	2.0
19	Oniru Victoria Island Lagos	₦ 3,000,000	2.0	2.0	3.0
20	Atlantic View Estate Igbo Efon Lekki Lagos	₦ 3,000,000	3.0	3.0	4.0
21	Agungi Lekki Lagos	₦ 3,300,000	3.0	3.0	4.0
22	Ikate Lekki Ikate Lekki Lagos	₦ 6,000,000	2.0	2.0	3.0
23	Inside An Estate Agungi Lekki Agungi Lekki Lagos	₦ 1,200,000	1.0	1.0	0.0
24	Lekki Phase 1 Lekki Lagos	₦ 3,000,000	1.0	1.0	2.0
25	Lekki Phase 1 Lekki Lagos	₦ 2,500,000	1.0	1.0	1.0
26	Chevron Lekki Lagos	₦ 2,200,000	1.0	1.0	1.0
27	Ikate Lekki Lagos	₦ 1,000,000	0.0	1.0	1.0
28	Banana Island Ikoyi Lagos	₦ 20,000,000	3.0	3.0	4.0
29	Chevron Lekki Lagos	₦ 4,500,000	3.0	3.0	4.0
30	Lekki Phase 1 Lekki Lagos	₦ 4,500,000	1.0	1.0	2.0
31	Banana Island Ikoyi Lagos	₦ 12,000,000	2.0	2.0	3.0
32	Jakande Lekki Lagos	₦ 2,500,000	2.0	2.0	3.0
33	Jakande Lekki Lagos	₦ 2,700,000	2.0	2.0	3.0
34	Ikate Lekki Lagos	₦ 2,000,000	2.0	2.0	3.0
35	Lekki Phase 1 Lekki Phase 1 Lekki Lagos	₦ 25,000,000	6.0	6.0	7.0
36	Lekki Phase 1 Lekki Lagos	₦ 10,000,000	3.0	3.0	4.0
37	Chevron Lekki Lagos	₦ 1,500,000	0.0	1.0	1.0
38	Lekki Phase 1 Lekki Lagos	₦ 2,500,000	0.0	1.0	1.0
39	Lekki Phase 1 Lekki Phase 1 Lekki Lagos	₦ 8,000,000	4.0	4.0	5.0
40	Chevron Lekki Lagos	₦ 3,250,000	2.0	2.0	3.0
41	Ikate Lekki Lagos	₦ 1,200,000	0.0	1.0	1.0
42	Off Ozumba Mbadiwe Victoria Island Lagos	₦ 10,000,000	4.0	4.0	5.0
43	Banana Island Ikoyi Lagos	₦ 15,000,000	1.0	1.0	1.0
44	Adebola Ojomu Str, Surulere Lagos	₦ 1,500,000	2.0	2.0	2.0
45	Lekki Phase 2 Lekki Lagos	₦ 1,100,000	0.0	1.0	1.0
46	Chevron Lekki Lagos	₦ 2,000,000	1.0	1.0	1.0
47	Banana Island Estate Ikoyi Lagos	₦ 15,000,000	3.0	3.0	4.0
48	Old Ikoyi Ikoyi Lagos	₦ 32,000,000	3.0	3.0	4.0
49	Ago Palace Okota Lagos	₦ 1,500,000	4.0	0.0	0.0
50	Xtadoc Estate Ado Ajah Lagos	₦ 2,000,000	2.0	3.0	3.0
51	Oniru Estate Victoria Island Lagos	₦ 9,000,000	2.0	2.0	3.0
52	Central Ikoyi Ikoyi Lagos	$ 99,500	4.0	4.0	4.0
53	Aguda Surulere Lagos	₦ 2,500,000	3.0	0.0	0.0
54	Bucknor Isolo Lagos	₦ 700,000	1.0	1.0	1.0
55	Ago Palace Okota Lagos	₦ 1,200,000	2.0	0.0	0.0
56	Amuwo Odofin Lagos	₦ 3,000,000	2.0	2.0	3.0
57	Amuwo Odofin Lagos	₦ 2,000,000	3.0	0.0	0.0
58	Off Randle Ojuelegba Surulere Lagos	₦ 3,500,000	3.0	3.0	4.0
59	Off Bode Thomas Surulere Lagos	₦ 2,500,000	3.0	0.0	0.0
60	Amuwo Odofin Lagos	₦ 2,500,000	2.0	0.0	0.0
61	Greenville Estate Badore Ajah Lagos	₦ 900,000	2.0	3.0	3.0
62	Lakeview Estate Amuwo Odofin Lagos	₦ 60,000,000	3.0	4.0	4.0
63	Akoka Yaba Lagos	₦ 750,000	1.0	0.0	0.0
64	Old Ikoyi Ikoyi Lagos	$ 50,000	4.0	3.0	4.0
65	Old Ikoyi Ikoyi Lagos	$ 100,000	4.0	4.0	5.0
66	Orchid Lekki Lagos Lekki Phase 2 Lekki Lagos	₦ 2,500,000	3.0	3.0	4.0
67	Ago Palace Okota Lagos	₦ 1,400,000	2.0	2.0	3.0
68	Old Ikoyi Old Ikoyi Ikoyi Lagos	$ 110,000	5.0	5.0	6.0
69	Old Ikoyi Ikoyi Lagos	₦ 15,000,000	4.0	4.0	5.0
70	Banana Island Ikoyi Lagos	₦ 32,000,000	3.0	3.0	4.0
71	Ikoyi Lagos	₦ 12,000,000	3.0	3.0	4.0
72	Old Ikoyi Ikoyi Lagos	₦ 25,000,000	3.0	3.0	4.0
73	Old Ikoyi Old Ikoyi Ikoyi Lagos	₦ 23,000,000	4.0	4.0	5.0
74	Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	3.0	4.0
75	Surulere Lagos	₦ 2,500,000	2.0	0.0	0.0
76	Ago Palace Okota Lagos	₦ 2,000,000	3.0	3.0	3.0
77	Palm Cresent Estate Badore Ajah Lagos	₦ 700,000	1.0	1.0	1.0
78	Unity Estate Badore Ajah Lagos	₦ 700,000	1.0	2.0	2.0
79	Greenville Estate Badore Ajah Lagos	₦ 500,000	1.0	0.0	0.0
80	Off Admiralty Way Lekki Phase 1 Lekki Lagos	₦ 9,000,000	2.0	3.0	3.0
81	Ikoyi Lagos	₦ 15,000,000	3.0	3.0	4.0
82	Banana Island Ikoyi Lagos	₦ 16,500,000	3.0	3.0	4.0
83	Gerard Road Ikoyi Lagos	₦ 14,000,000	3.0	3.0	4.0
84	Amuwo Odofin Lagos	₦ 1,800,000	2.0		
85	Silverpoint Badore Ajah Lagos	₦ 1,500,000	2.0	3.0	3.0
86	Off Nike Art Gallery Road Ikate Lekki Lagos	₦ 10,000,000	2.0	2.0	3.0
87	Ire Akari Isolo Lagos	₦ 35,500,000	2.0	2.0	3.0
88	Ago Palace Okota Lagos	₦ 1,500,000	2.0	0.0	0.0
89	Surulere Lagos	₦ 3,500,000	3.0	3.0	4.0
90	Adeola Odeku Victoria Island Lagos	₦ 17,000,000	3.0	3.0	4.0
91	Bucknor Isolo Lagos	₦ 600,000	1.0	1.0	1.0
92	Greenville Estate Badore Ajah Lagos	₦ 800,000	2.0	3.0	3.0
93	Kilo Marsha Surulere Lagos	₦ 2,000,000	2.0	0.0	0.0
94	Unity Estate Badore Ajah Lagos	₦ 500,000	0.0	0.0	0.0
95	Greenville Estate Badore Ajah Lagos	₦ 650,000	1.0		
96	Banana Island Estate Banana Island Ikoyi Lagos	₦ 18,000,000	3.0	3.0	3.0
97	Banana Island Ikoyi Lagos	₦ 22,000,000	3.0	3.0	4.0
