Apartment _Type,Price,Beds,Baths,Toilets,Location,Description
MINIFLAT,600000,1,1,1,Folagoro,Luxury miniflat in a serene estate environment in. a serene estate environment ..
SHARED APARTMENT,900000,1,1,1,Ilaje,Luxury selfcontained share apartment in a 4 Bedroom duplex in a serene estate..
SHARED APARTMENT,950000,1,1,1,MaryLand,Luxury self-contained in a shared apartment in a serene estate with state-of-the..
SHARED APARTMENT,1500000,1,1,1,Ajah,Luxury selfcontained share apartment in a 4 Bedroom duplex in a serene estate..
2 BEDROOM FLAT / APARTMENT FOR RENT,2600000,2,2,3,Lekki,Spacious clean and nice two bedroom flat at Chevron alternative routes up stairs..
4 BEDROOM HOUSE FOR RENT,4000000,4,4,5,Lekki,"Newly BuiltA newly built 3 unit of 4 bedroom terrace duplex at Nature View Gardens, beside .."
STUDIO APARTMENT,3500000,1,2,2,Victoria Island,"Furnished ServicedFURNISHED 1BEDROOM WITH SEPARATE KITCHEN AND ENSUITE BATHROOM, OFF LIGALI AYORIN.."
1 BEDROOM FLAT / APARTMENT FOR RENT,1000000,1,1,1,Gbagada,This is decent spacious en-suites mini flat with wadrobe in a decent environment..
1 BEDROOM FLAT / APARTMENT FOR RENT,550000,1,1,1,Yaba,FurnishedA young lady needs a room mate to share her furnished room self contain with kit..
4 BEDROOM HOUSE FOR RENT,15000000,4,4,5,Ikoyi,ServicedServiced 4 bed terrace duplex within a mini estate Location: Ikoyi Price: 15..
2 BEDROOM HOUSE FOR RENT,2500000,2,2,3,Lekki,"A 2 Bedroom Flat, Upstairs A clean, nice, standard apartment. A well organize.."
2 BEDROOM FLAT / APARTMENT FOR RENT,2200000,2,2,3,Ajah,A Very Beautiful 2 bedroom flat fence round and Gated with parking space in Nic..
3 BEDROOM FLAT / APARTMENT FOR RENT,10000000,3,3,4,Ikoyi,Serviced Newly Built3 Bedroom Flat with a Room BQ. VI Rent : 10m per annum SC: 2.5m/annum (Ex..
SHARED APARTMENT,1250000,1,2,2,Ajah,Ologolo Rent 1.250m Agency 125k Caution 125k Legal 125k Service charge 250..
SHARED APARTMENT,800000,1,1,1,Magodo,Luxury self-contained in a shared apartment in a serene estate with state-of-the..
2 BEDROOM HOUSE FOR RENT,700000,2,3,3,Onipanu,If U Are interested please call this Number [redacted]05 Name prince uche ..
4 BEDROOM,1500000,4,4,5,Alagunta,A neat house of 3 bedroom apartment to let in mobile road alagunta area wit good..
1 BEDROOM FLAT / APARTMENT FOR RENT,750000,1,1,2,Yaba,Furnished Newly BuiltKayfarm... Personal prepaid meter and accessibility proximity..
2 BEDROOM,1300000,2,2,3,Bariga,"Clean 2 bedroom flat in a serene environment with pop, prepaid meter, security p.."
1 BEDROOM,600000,1,1,1,Gbagada,IFAKO GBAGADA LETTING JUST OUT Very lovely an standard room self contain in go..
1 BEDROOM FLAT / APARTMENT FOR RENT,300000,1,2,2,Yaba,If U Are interested please call this Number [redacted]05 Name prince uche ..
4 BEDROOM HOUSE FOR RENT,1200000,4,4,4,Shomolu,If U Are interested please call..
1 BEDROOM,600000,1,1,1,Folagoro,"Roomself @ Folagoro 13, Fatua Ade Street 600k one year rent. Pay and parking.."
1 BEDROOM,500000,1,1,1,Ilaje,Now available relatively newly built selfcontain @ ilaje rent 550k per year come..
2 BEDROOM FLAT / APARTMENT FOR RENT,2200000,2,2,2,Onike,"Semi-Direct brief Modern two bedroom with all rooms ensuit, guest room, kitche.."
MINIFLAT,800000,1,1,1,Shomolu,Just out lovely relatively new portable mini flat 800k upstairs @ shomolu AMa..
4 BEDROOM HOUSE FOR RENT,7500000,4,4,5,Lekki,Newly BuiltNEW LISTING 4 BEDROOM SEMI DETACHED DUPLEX RENT ON TWO FLOOR WITH OPEN TERRA..
SHARED APARTMENT,900000,1,1,1,Yaba,Massive masters bedroom in a shared duplex sharing only kitchen Rent- 900k S..
4 BEDROOM HOUSE FOR RENT,5000000,4,4,5,Chervon,Large and fully spacious Semi-detached 4 bedroom duplex with a bq Location-Che..
1 BEDROOM,450000,1,1,1,Folagoro,Newly BuiltAwooff berekete newly built mini flat and room self very spacious with modern fi..
4 BEDROOM HOUSE FOR RENT,5000000,4,4,4,Lekki,Serviced*Large and fully spacious Semi-detached 4 bedroom duplex with a bq in Chevvy vie..
4 BEDROOM HOUSE FOR RENT,10000000,4,4,4,Ikate,"Serviced*Brand new 4 bedroom terrace duplex in a secure and serene estate Ikate, lekki.."
1 BEDROOM FLAT / APARTMENT FOR RENT,2000000,1,1,1,Lekki,ServicedCONVERTED MINI FLAT IN IDADO ESTATE COMES WITH IT OWN KITCHEN AND TOLET Rent ..
1 BEDROOM FLAT / APARTMENT FOR RENT,1500000,1,1,1,Lekki,ServicedSELF SERVICE MASTER BEDROOM IN CHEVRON ALTERNATE Rent 1.5M Agency 10% ..
1 BEDROOM FLAT / APARTMENT FOR RENT,1500000,1,2,2,Ikoyi,"Newly BuiltNewly built spacious mini flat with pop finishing, enough parking space, 2toilet.."
1 BEDROOM FLAT / APARTMENT FOR RENT,1200000,1,1,1,Shomolu,Just out now mini flat shomolu folagoro upstairs 1.2m maybe 1.1m can fly RefMa..
2 BEDROOM FLAT / APARTMENT FOR RENT,4000000,2,2,3,Magodo,*LETTING IN MAGODO GRA PHASE II* *Newly Built 2 bedroom Flat With all room e..
5 BEDROOM HOUSE FOR RENT,4000000,5,6,6,Ajah,Furnished 5 bedroom duplex for rent with a room BQ in silver point Estate bador..
3 BEDROOM HOUSE FOR RENT,1500000,3,3,3,Palmgrove,"Very decent 3 bedroom flat with POP finishing, fitted kitchen cabinets, wardrobe.."
2 BEDROOM FLAT / APARTMENT FOR RENT,3500000,2,2,3,Ikota,Furnished*Fully Furnished 2 bedroom flat at Ikota GRA inside Ikota Villa Estate Rent..
2 BEDROOM FLAT / APARTMENT FOR RENT,3500000,2,2,3,Lekki,"2 bedroom flat at Idado, Chevron, Lekki, Lagos Rent: N3.5m Agency fee: 10%.."
1 BEDROOM FLAT / APARTMENT FOR RENT,1500000,1,1,1,Lekki,ServicedMaster bed IN CHEVRON ALTERNATE Rent 1.5m Agency 10% Legal 10% Ca..
1 BEDROOM FLAT / APARTMENT FOR RENT,1100000,1,1,1,Lekki,ServicedSEMI-MASTER IN CHEVRON ALTERNATE WITH A BALCONY Rent 1.1M Agency 10% ..
4 BEDROOM,9000000,4,5,5,Victoria Island,LETTING 38sqm office space for rent on Adeola Odeku street Victoria island (..
4 BEDROOM HOUSE FOR RENT,5000000,4,4,5,Ajah,"4 bedroom semi detached duplex for rent at lekki palm city estate, Ajah. Rent 5.."
3 BEDROOM,2500000,3,3,3,Ajah,"A SUPERB LOVELY 3BEDROOM FLAT, ALL ROOMS ENSUITE, POP FINISHING, ALL ROUND TILES.."
3 BEDROOM HOUSE FOR RENT,4000000,3,3,3,Ikoyi,A 3 bedroom semi-detached duplex for rent. 3 Bedroom Semi-Detached Duplex for Re..
4 BEDROOM HOUSE FOR RENT,7500000,4,4,5,Ikoyi,Serviced Newly Built2 years payment Serene environment Fitted kitchen All rooms ensuite Spaci..
4 BEDROOM HOUSE FOR RENT,10000000,4,4,5,Victoria Island,"ServicedLocation: VI, Lagos ° 11 Rent: 10m per annum Other Charges: -Agency: 10% -Le.."
3 BEDROOM COMMERCIAL PROPERTY FOR RENT,8000000,3,3,4,Lekki,FOR LEASE: (Office Use) Description: 3 Bedroom flat no BQ (All rooms en-suite..
4 BEDROOM HOUSE FOR RENT,12000000,4,5,5,Lekki,Furnished Serviced Newly BuiltTO LET 4 bedroom terrace duplex with a room Bq available for rent. Locatio..
4 BEDROOM HOUSE FOR RENT,4500000,4,4,5,Lekki,"Newly BuiltTASTEFULLY FINISHED 4 BEDROOM SEMI DETACHED DUPLEX for rent at Orchid Road, Lekk.."
1 BEDROOM FLAT / APARTMENT FOR RENT,2800000,1,1,2,Bariga,Serviced Newly BuiltSerene environment Spacious living room All rooms ensuite Fitted kitchen ..
2 BEDROOM FLAT / APARTMENT FOR RENT,2500000,2,2,3,Lekki,To Let: Service 2bedroom flat downstairs. Located inside Idado Estate. Lekki ..
6 BEDROOM HOUSE FOR RENT,6000000,6,6,7,Lekki,6 bedroom fully detached duplex for rent on full plots of land at lagoon view es..
1 BEDROOM,420000,1,1,1,Yaba,4man room to let at Abule oja yaba. Per person 420k Agency 150k ACHU-JOSH26..
4 BEDROOM HOUSE FOR RENT,23000000,4,4,5,Ikoyi,4 bedroom House for rent Banana Island Ikoyi Lagos..
1 BEDROOM HOUSE FOR RENT,1700000,1,1,2,Lekki,Newly BuiltMini flat for Rent. Location:Orchid Rent:#1.7m. Caution:10% Agreement:10..
3 BEDROOM HOUSE FOR RENT,2100000,3,3,3,Ikotun,Serviced*LETTING JUST OUT* 3 bedroom Flat Standard Very Big Upstairs Personal ..
4 BEDROOM HOUSE FOR RENT,12000000,4,4,5,Lekki,Serviced4Bedroom fully detached house with bq at lekki phase 1 Lagos State Features -..
2 BEDROOM HOUSE FOR RENT,2000000,2,2,3,Yaba,Newly BuiltTO LET Sophisticated and Tastefully Finished 2 bedroom flat with very massive..
4 BEDROOM HOUSE FOR RENT,4000000,4,4,4,Lekki,Newly BuiltA newly built 4 bedroom semi-detached duplex for rent. Apartment for rent/ Apart..
5 BEDROOM HOUSE FOR RENT,10000000,5,5,6,Ikoyi,Rent ..#10m Agency ..#1m Legal..#1m Caution.#800k Sc ..#1275000 Diesel depo..
3 BEDROOM FLAT / APARTMENT FOR RENT,9500000,3,3,3,Victoria Island,Furnished ServicedFurnished 3 bedroom apartment available for rent at 1004 Estate Victoria Island ..
STUDIO APARTMENT,1400000,1,1,2,Ilupeju,Serviced Newly BuiltJUST OUT!!! Serviced Studio Apartment for rent with Open Plan Kitchen and Ba..
